fileName,latitude,longitude,altitude_amsl,altitude_wgs84,heading,pitch,roll
IMG_0446.JPG,41.0346708,-83.3057253,313.99,281.69,70.06,2.56,-2.93
IMG_0447.JPG,41.0347606,-83.3054654,315.75,283.82,30.44,-1.4,-2.65
IMG_0448.JPG,41.0348986,-83.305212,322.08,290.41,28.9,-1.04,-10.79
IMG_0449.JPG,41.0350661,-83.3049539,323.64,291.76,38.07,9.18,0.93
IMG_0450.JPG,41.0352376,-83.3046963,317.57,284.5,59.15,6.94,5.47
IMG_0451.JPG,41.03537,-83.3043805,319.4,287.28,69.15,6.03,-2.06
IMG_0452.JPG,41.0354814,-83.30410656,320.06,288.72,60.64,3.37,-10.33
IMG_0453.JPG,41.0356446,-83.3038206,318.03,286.82,59.01,2.79,-4.6
IMG_0454.JPG,41.0357759,-83.303533,315.4,284.12,67.73,-2.41,-3.97
IMG_0455.JPG,41.0360541333,-83.3031076,323.68,292.01,24.49,6.66,2.83
IMG_0456.JPG,41.0363591,-83.3037614,318.59,284.05,242.58,5.88,4.99
IMG_0457.JPG,41.0357282,-83.3047768,314.78,283.41,221.85,5.74,-3.61
IMG_0458.JPG,41.0354719,-83.3052236,312.2,279.68,236.85,1.32,-7.05
IMG_0459.JPG,41.0352357,-83.3057527,314.03,281.92,240.27,-9.62,-0.23
IMG_0460.JPG,41.0351924,-83.3065655,316.26,285.12,61.38,-0.03,-1.56
IMG_0461.JPG,41.035308,-83.3062512,322.15,288.4,60.61,4.36,-4.91
IMG_0462.JPG,41.0354537,-83.3058593,322.43,287.14,71.27,8.87,3.76
IMG_0463.JPG,41.0357482,-83.3054237,321.58,286.18,40.64,8.11,-1.78
IMG_0464.JPG,41.0359328,-83.3051231,321.34,284.83,67.54,7.75,2.23
IMG_0465.JPG,41.0360433,-83.3047927,323.63,288.2,57.93,10.64,-4.93
IMG_0466.JPG,41.0362123,-83.3044972667,320.49,283.49,54.91,10.9,-2.02
IMG_0467.JPG,41.0363877,-83.3042441,316.3,280.3,41.76,7.62,1.62
IMG_0468.JPG,41.0365294,-83.3039431,315.84,279.86,55.14,5.08,1.23
IMG_0469.JPG,41.0366645,-83.3036545,315.41,278.64,53.49,5.02,-1.39
IMG_0470.JPG,41.0369659,-83.3043454,318.45,282.73,245.1,7.79,-2.36
IMG_0471.JPG,41.0363658,-83.3052794,318.79,284.14,222.28,6.63,-2.93
IMG_0472.JPG,41.036042,-83.3059365,316.6,280.91,244.86,5.43,-2.34
IMG_0473.JPG,41.0359351,-83.3068092,319.2,283.59,38.05,6.7,-14.18
IMG_0474.JPG,41.0360976,-83.30652,321.3,286.02,63.2,8.76,0.08
IMG_0475.JPG,41.0362586,-83.3062394,319.97,283.68,33.82,6.97,-2.71
IMG_0476.JPG,41.0364383,-83.3059563,316.24,278.71,62.05,9.03,-2.84
IMG_0477.JPG,41.03656205,-83.30564275,320.34,282.89,55.29,5.83,-2.71
IMG_0478.JPG,41.0367463,-83.3053553,318.42,282.85,46.26,8.39,-2.84
IMG_0479.JPG,41.0368967,-83.3050727,317.62,280.71,59.89,5.84,0.25
IMG_0480.JPG,41.0370286,-83.3048093,319.72,282.84,43.88,5.34,-0.06
IMG_0481.JPG,41.0371746,-83.3045107,318.22,280.54,49.14,5.59,-1.51
