#Rev: sensefly/geoinfo/2
fileName	latitude	longitude	altitude_amsl	altitude_wgs84	heading	pitch	roll
IMG_0446.JPG	41.0346708000	-83.3057253000	313.99	281.69	70.06	2.56	-2.93
IMG_0447.JPG	41.0347606000	-83.3054654000	315.75	283.82	30.44	-1.40	-2.65
IMG_0448.JPG	41.0348986000	-83.3052120000	322.08	290.41	28.90	-1.04	-10.79
IMG_0449.JPG	41.0350661000	-83.3049539000	323.64	291.76	38.07	9.18	0.93
IMG_0450.JPG	41.0352376000	-83.3046963000	317.57	284.50	59.15	6.94	5.47
IMG_0451.JPG	41.0353700000	-83.3043805000	319.40	287.28	69.15	6.03	-2.06
IMG_0452.JPG	41.0354814000	-83.3041065600	320.06	288.72	60.64	3.37	-10.33
IMG_0453.JPG	41.0356446000	-83.3038206000	318.03	286.82	59.01	2.79	-4.60
IMG_0454.JPG	41.0357759000	-83.3035330000	315.40	284.12	67.73	-2.41	-3.97
IMG_0455.JPG	41.0360541333	-83.3031076000	323.68	292.01	24.49	6.66	2.83
IMG_0456.JPG	41.0363591000	-83.3037614000	318.59	284.05	242.58	5.88	4.99
IMG_0457.JPG	41.0357282000	-83.3047768000	314.78	283.41	221.85	5.74	-3.61
IMG_0458.JPG	41.0354719000	-83.3052236000	312.20	279.68	236.85	1.32	-7.05
IMG_0459.JPG	41.0352357000	-83.3057527000	314.03	281.92	240.27	-9.62	-0.23
IMG_0460.JPG	41.0351924000	-83.3065655000	316.26	285.12	61.38	-0.03	-1.56
IMG_0461.JPG	41.0353080000	-83.3062512000	322.15	288.40	60.61	4.36	-4.91
IMG_0462.JPG	41.0354537000	-83.3058593000	322.43	287.14	71.27	8.87	3.76
IMG_0463.JPG	41.0357482000	-83.3054237000	321.58	286.18	40.64	8.11	-1.78
IMG_0464.JPG	41.0359328000	-83.3051231000	321.34	284.83	67.54	7.75	2.23
IMG_0465.JPG	41.0360433000	-83.3047927000	323.63	288.20	57.93	10.64	-4.93
IMG_0466.JPG	41.0362123000	-83.3044972667	320.49	283.49	54.91	10.90	-2.02
IMG_0467.JPG	41.0363877000	-83.3042441000	316.30	280.30	41.76	7.62	1.62
IMG_0468.JPG	41.0365294000	-83.3039431000	315.84	279.86	55.14	5.08	1.23
IMG_0469.JPG	41.0366645000	-83.3036545000	315.41	278.64	53.49	5.02	-1.39
IMG_0470.JPG	41.0369659000	-83.3043454000	318.45	282.73	245.10	7.79	-2.36
IMG_0471.JPG	41.0363658000	-83.3052794000	318.79	284.14	222.28	6.63	-2.93
IMG_0472.JPG	41.0360420000	-83.3059365000	316.60	280.91	244.86	5.43	-2.34
IMG_0473.JPG	41.0359351000	-83.3068092000	319.20	283.59	38.05	6.70	-14.18
IMG_0474.JPG	41.0360976000	-83.3065200000	321.30	286.02	63.20	8.76	0.08
IMG_0475.JPG	41.0362586000	-83.3062394000	319.97	283.68	33.82	6.97	-2.71
IMG_0476.JPG	41.0364383000	-83.3059563000	316.24	278.71	62.05	9.03	-2.84
IMG_0477.JPG	41.0365620500	-83.3056427500	320.34	282.89	55.29	5.83	-2.71
IMG_0478.JPG	41.0367463000	-83.3053553000	318.42	282.85	46.26	8.39	-2.84
IMG_0479.JPG	41.0368967000	-83.3050727000	317.62	280.71	59.89	5.84	0.25
IMG_0480.JPG	41.0370286000	-83.3048093000	319.72	282.84	43.88	5.34	-0.06
IMG_0481.JPG	41.0371746000	-83.3045107000	318.22	280.54	49.14	5.59	-1.51
IMG_0482.JPG	41.0372974000	-83.3041605000	319.84	282.35	73.34	5.95	-1.98
IMG_0483.JPG	41.0370545000	-83.3057238000	318.66	282.65	222.93	4.71	-4.73
IMG_0484.JPG	41.0367453000	-83.3062719000	317.97	282.20	235.80	4.71	-5.56
IMG_0485.JPG	41.0364951000	-83.3068465000	318.54	282.70	237.57	4.89	0.73
IMG_0486.JPG	41.0365791000	-83.3073587000	317.28	279.15	53.34	4.81	-2.98
IMG_0487.JPG	41.0367195000	-83.3070680000	321.15	282.53	48.97	8.68	-0.59
IMG_0488.JPG	41.0368471000	-83.3067675000	319.76	282.00	57.53	6.41	-1.82
IMG_0489.JPG	41.0369906000	-83.3064768000	317.26	279.70	67.14	5.22	-1.66
IMG_0490.JPG	41.0371020000	-83.3061637000	321.12	283.46	62.94	6.93	-3.49
IMG_0491.JPG	41.0373084000	-83.3058907000	318.88	281.52	29.42	5.37	-6.16
IMG_0492.JPG	41.0374622000	-83.3055776000	320.82	283.47	75.74	6.70	-3.00
IMG_0493.JPG	41.0376541000	-83.3052504000	319.80	282.38	36.07	8.23	-2.33
IMG_0494.JPG	41.0378105000	-83.3049700000	317.51	279.36	63.66	7.74	2.59
IMG_0495.JPG	41.0377275000	-83.3061130000	316.90	279.38	218.54	8.59	-1.46
IMG_0496.JPG	41.0374317500	-83.3066529500	317.13	281.13	243.70	3.47	-0.39
IMG_0497.JPG	41.0371959000	-83.3072224000	321.77	287.16	239.14	8.51	0.82
IMG_0498.JPG	41.0368798000	-83.3078058000	320.43	283.83	224.58	8.75	-2.83
IMG_0499.JPG	41.0372092000	-83.3078892000	316.83	280.61	43.87	5.78	-1.14
IMG_0500.JPG	41.0373458500	-83.3076204000	319.74	283.90	60.58	0.73	-3.43
IMG_0501.JPG	41.0375190000	-83.3073139000	323.36	286.79	49.78	8.69	-2.11
IMG_0502.JPG	41.0377050000	-83.3069907000	322.20	284.01	57.49	10.19	2.85
